ward_code,ward_name,total_ward_pop,imd_score,income_score,employment_score,education_score,health_score,crime_score,housing_services_score,living_env_score,wider_det_score
E05000977,Cudworth,7,8888.29,11155.142857142857,8958.42857142857,6686.571428571428,4856.285714285715,10606.42857142857,15035.42857142857,17914.285714285714,16474.86
E05000978,Darfield,7,8883.57,11079.142857142857,7762.285714285715,7761.142857142857,4697,9400.42857142857,21636.85714285714,17443.285714285714,19540.07
E05000979,Darton East,7,18634.86,20403.428571428572,16658.85714285714,18468.428571428572,9423,17734.14285714286,22113.285714285714,21971.285714285714,22042.29
E05000980,Darton West,6,20240.67,19609.833333333332,17492.5,19072.666666666668,10764.833333333334,21555.333333333332,21786.833333333332,25217,23501.92
E05000981,Dearne North,8,3343.38,5940.75,3237.625,1787.375,1916,3481.625,21531,21287.75,21409.38
E05000982,Dearne South,7,6471,8064.428571428572,5432.714285714285,4505.142857142857,3503.5714285714284,8695.714285714286,21470.714285714286,21996.85714285714,21733.79
E05000983,Dodworth,7,19636.71,19875.85714285714,16855.85714285714,18283.14285714286,11351.142857142857,19649.714285714286,21183.285714285714,24352.14285714286,22767.71
E05000984,Hoyland Milton,7,12564.86,13742.285714285714,10708.714285714286,12525.857142857143,6292.714285714285,12389.57142857143,24972.571428571428,19757.714285714286,22365.14
E05000985,Kingstone,6,6194.5,8230.5,6921.333333333333,8428,4060.5,3956.1666666666665,30324.833333333332,7186.833333333333,18755.83
E05000986,Monk Bretton,7,8408.29,10204,6879.285714285715,6412,4062.1428571428573,7848.714285714285,21716,26913.14285714286,24314.57
E05000987,North East,8,6646,10008.875,6983.625,5315.125,3140.625,7915.875,9249.75,22338.25,15794
E05000988,Old Town,7,12001.14,13995.57142857143,10904.42857142857,14970.714285714286,5758.428571428572,10915,31424.428571428572,14383,22903.71
E05000990,Penistone West,7,21846.14,20901.85714285714,20642.14285714286,23475.428571428572,14522.714285714286,24152,15800.57142857143,22407.285714285714,19103.93
E05000991,Rockingham,7,10576.14,12013,9694.42857142857,10888.857142857143,6032.285714285715,8540.857142857143,26818.714285714286,16133.285714285714,21476
E05000992,Royston,7,11775,12635.285714285714,10041,10580.285714285714,6431.142857142857,9655.857142857143,23793.571428571428,23408.285714285714,23600.93
E05000993,St Helens,7,3994.86,4646.714285714285,3411,3010.4285714285716,1489.2857142857142,6157.857142857143,25483.285714285714,28128.85714285714,26806.07
E05000994,Stairfoot,8,8506.75,10092.25,7248.25,7765,4901.25,7033.375,25856.375,24502.875,25179.62
E05000995,Wombwell,7,8706.57,10159.142857142857,7527.714285714285,6731.428571428572,5283.571428571428,9625.57142857143,24614.285714285714,20363.428571428572,22488.86
E05000996,Worsbrough,6,6706.17,8595.5,5382.333333333333,7307.166666666667,2819.5,6354.833333333333,28942.666666666668,17885,23413.83
E05001067,Birtley,5,11635.2,12111.2,9490.6,11053,6492.6,14370.8,28653.8,16795.2,22724.5
E05001068,Blaydon,7,12099.86,11741.142857142857,10003.57142857143,13651.285714285714,8457.857142857143,9701.42857142857,26554.14285714286,18200,22377.07
E05001069,Bridges,7,6642.43,9843.142857142857,9356.57142857143,10360.142857142857,2212.285714285714,3024.285714285714,23895,8566.857142857143,16230.93
E05001071,Chowdene,6,14707.33,15941.666666666666,12587.833333333334,15771.333333333334,7534.666666666667,12192.5,30316.833333333332,19373,24844.92
E05001072,Crawcrook and Greenside,5,19030,21018.4,17252.8,22676.8,14970,19503.6,10016.8,16839.8,13428.3
E05001073,Deckham,6,6818.83,6768.666666666667,6188,7829.666666666667,4446.166666666667,7482.666666666667,26283.5,15422.833333333334,20853.17
E05001074,Dunston and Teams,5,8201.2,8982.2,6331.4,9688.2,5020.2,11650.8,28104.2,14905.8,21505
E05001075,Dunston Hill and Whickham East,6,20173.17,19603.333333333332,15508,20620.166666666668,13604.333333333334,19212.166666666668,31119.166666666668,21029.833333333332,26074.5
E05001076,Felling,5,3626.2,3416.2,2435.6,5010.6,2860.8,5789,21478.4,12743.8,17111.1
E05001077,High Fell,6,4351,4761.166666666667,3639.8333333333335,4209.166666666667,2986.1666666666665,4857.5,29810.333333333332,19786.166666666668,24798.25
E05001078,Lamesley,5,11932.6,11904,10248.8,11894.8,8337.6,11052.2,24765.8,18609.4,21687.6
E05001079,Lobley Hill and Bensham,5,11115.6,11822.4,10263.8,9923.8,7054.8,11968.2,25949.2,14109.4,20029.3
E05001080,Low Fell,6,25122.5,27737.666666666668,25337,30472.166666666668,17105,19207.5,33361.833333333336,8442.333333333334,20902.08
E05001081,Pelaw and Heworth,5,12278.2,12023.4,10240.8,14272.4,7379,11035.8,31864.2,15029,23446.6
E05001082,"Ryton, Crookhill and Stella",6,19436.33,19301.666666666668,15940.833333333334,21870.666666666668,14937.333333333334,18730.666666666668,18021.833333333332,20071.833333333332,19046.83
E05001083,Saltwell,6,5991.5,6258.333333333333,6718.833333333333,7844.5,5109,4574.666666666667,27647,5127.5,16387.25
E05001084,Wardley and Leam Lane,6,14595.33,14056.833333333334,11229.333333333334,14878.5,9181.333333333334,14387.5,29243.833333333332,20473.5,24858.67
E05001085,Whickham North,4,14517.5,15026.75,11327.75,16370.5,7412.5,15800.75,29118,17380.75,23249.38
E05001086,Whickham South and Sunniside,7,26726.71,26327.85714285714,24437.14285714286,28219.571428571428,18785.428571428572,25900.428571428572,20519.85714285714,26698.285714285714,23609.07
E05001087,Windy Nook and Whitehills,7,8853.57,9524,7143,7876.285714285715,4203.285714285715,10241.42857142857,29004.85714285714,20169,24586.93
E05001088,Winlaton and High Spen,5,17929.8,19487,14116.2,19406.2,11790.6,22679.6,16615,19313.4,17964.2
E05001135,Beacon and Bents,5,4098.2,5410.8,3550,10743.2,3213,3000.8,25369.8,8037.4,16703.6
E05001136,Bede,4,3953.75,3918.5,2256.5,7576.5,1513.25,6808.75,28067,21831,24949
E05001137,Biddick and All Saints,6,3649.83,3694.8333333333335,2005.3333333333333,7882.833333333333,2279.6666666666665,4032,22935.833333333332,21509.5,22222.67
E05001138,Boldon Colliery,6,15167.5,14507.166666666666,11455.833333333334,17132.166666666668,9008.833333333334,16075.833333333334,26898.666666666668,19818.833333333332,23358.75
E05001139,Cleadon and East Boldon,6,31168.67,31949.833333333332,29090.5,31870.666666666668,24535.833333333332,27652.666666666668,24141.666666666668,20030.166666666668,22085.92
E05001140,Cleadon Park,5,8341.6,7957,5460.2,11217.6,4110.4,10410.6,28259.4,23436.6,25848
E05001141,Fellgate and Hedworth,6,10465.83,11536.166666666666,8377.166666666666,12457.5,5144.5,10359,26374,18427.166666666668,22400.58
E05001142,Harton,6,11285.33,11666.5,8326.333333333334,14029.333333333334,6434.666666666667,12488.333333333334,31065.5,18836.333333333332,24950.92
E05001143,Hebburn North,5,10809.2,10763.4,8303.8,14859.2,4971.4,10586,30289.4,19756.4,25022.9
E05001144,Hebburn South,6,14942.17,13918.333333333334,12390.5,16644.166666666668,7985,12378.166666666666,31608.166666666668,22559.166666666668,27083.67
E05001145,Horsley Hill,6,14162.83,15566.833333333334,9986.5,18664.5,8218.5,13615,28977.166666666668,18479,23728.08
E05001146,Monkton,5,9730.6,10066.6,8812.2,14404.4,3521.6,11430,31111.2,16105,23608.1
E05001147,Primrose,7,5791.43,6977.142857142857,4369.142857142857,9667.714285714286,2804.5714285714284,7021.714285714285,30793,13467.714285714286,22130.36
E05001148,Simonside and Rekendyke,7,3325.57,3975.5714285714284,2037.142857142857,7981,1778.7142857142858,3564.8571428571427,23602.14285714286,14500.42857142857,19051.29
E05001149,Westoe,6,17035.33,18974.333333333332,14615.166666666666,22990.666666666668,10616.333333333334,16558.166666666668,31752.666666666668,8306.166666666666,20029.42
E05001150,West Park,6,9743.5,12737.5,8141.833333333333,15419.333333333334,5746,7731.333333333333,31093.833333333332,5720.5,18407.17
E05001151,Whitburn and Marsden,5,12489,12069.2,8850.4,15969.8,8038,17142.6,17575.2,22686.2,20130.7
E05001152,Whiteleas,6,8754.83,9173.166666666666,6562.833333333333,10315,4341,8874.333333333334,26808.666666666668,22419,24613.83
E05001153,Barnes,7,13968.71,15874.57142857143,13689,17305.428571428572,9701,15307,29656.285714285714,8144.428571428572,18900.36
E05001154,Castle,8,6026.5,6688.125,4801.75,5953,2687.625,8854.625,22680.125,19364.25,21022.19
E05001155,Copt Hill,8,10212.62,11378.125,8020.75,12963.625,4997.25,8824.25,25124.75,20065.125,22594.94
E05001156,Doxford,7,16680.14,16895,13246.142857142857,16481.571428571428,8938.42857142857,18121,20166.285714285714,26719,23442.64
E05001157,Fulwell,7,25777.71,29050.714285714286,24508.85714285714,26582.428571428572,17528.285714285714,21297.14285714286,30664.85714285714,11814.42857142857,21239.64
E05001158,Hendon,8,1573.5,3175.875,1466.75,3894,1211.25,1292.625,17350.5,7572.125,12461.31
E05001159,Hetton,7,8002.86,9342.857142857143,5492,10810.857142857143,4752.428571428572,8707.42857142857,20396.428571428572,19660.14285714286,20028.29
E05001160,Houghton,9,14019.56,15022.555555555555,11798.666666666666,15270.444444444445,6778.444444444444,13625.555555555555,23320.11111111111,22197.666666666668,22758.89
E05001161,Millfield,7,5896.43,8972.42857142857,7319.714285714285,10340.142857142857,3953.714285714286,4811.857142857143,23294.428571428572,1727,12510.71
E05001162,Pallion,8,5340.5,7299.375,4809.5,6534.5,2900.375,7575.125,28565.75,12936.5,20751.12
E05001163,Redhill,8,2992.75,3641.375,2306.625,3021.25,1125.875,5098.75,21487.875,24639.75,23063.81
E05001164,Ryhope,7,10144,11711.285714285714,7945.857142857143,11380.42857142857,5572.571428571428,10114.857142857143,25182.85714285714,19007.714285714286,22095.29
E05001165,St Anne's,6,5131.5,5761,3496.1666666666665,5477.166666666667,2918.6666666666665,7201.833333333333,27023.333333333332,20414.666666666668,23719
E05001166,St Chad's,7,12939.43,14007.857142857143,10409,13135.714285714286,7402,14796.42857142857,25079.714285714286,20512.85714285714,22796.29
E05001167,St Michael's,6,18931.17,21616.166666666668,16066.5,23916.333333333332,11180,16088,29155.666666666668,15112.833333333334,22134.25
E05001168,St Peter's,8,14356.25,19447.25,13416.5,19516.125,7823.25,12401.5,31011,5916.5,18463.75
E05001169,Sandhill,7,5361.14,6553.857142857143,3704.1428571428573,5747.714285714285,2899.714285714286,6634.142857142857,24368.714285714286,21421.571428571428,22895.14
E05001170,Shiney Row,7,12399,13665.57142857143,11064.857142857143,11605.142857142857,6612.285714285715,12771.42857142857,20520.571428571428,19798,20159.29
E05001171,Silksworth,7,8917.29,10084.714285714286,7359.428571428572,8264.285714285714,4953.285714285715,9921.285714285714,23341.428571428572,16926.428571428572,20133.93
E05001172,Southwick,6,3498.5,4925.833333333333,3078.3333333333335,5141.333333333333,1691.3333333333333,6339.333333333333,26358.833333333332,12329.333333333334,19344.08
E05001173,Washington Central,8,13457.25,14962.75,11082.875,12843.875,6092.75,14433.375,27395.75,20841.625,24118.69
E05001174,Washington East,9,17473.44,17851.444444444445,15744.333333333334,16447.777777777777,9630.888888888889,19490.333333333332,18204.666666666668,24788.444444444445,21496.56
E05001175,Washington North,8,5934.75,6770,3923.75,5996,2766,12267,22995.875,20492,21743.94
E05001176,Washington South,7,18406,18388.571428571428,15684.857142857143,17990.428571428572,8850,20665.285714285714,20605.428571428572,27936.285714285714,24270.86
E05001177,Washington West,8,14845,15337,12072.625,13516.875,7076.75,17707.875,28088.5,21565.625,24827.06
E05001218,Bablake,11,18833.64,18496.81818181818,18455.81818181818,17956.636363636364,13965.818181818182,18158.727272727272,21609.363636363636,16138.727272727272,18874.05
E05001219,Binley and Willenhall,11,9819.82,9549,8513,9211.181818181818,6615.454545454545,12049.363636363636,18123.272727272728,20727.545454545456,19425.41
E05001220,Cheylesmore,10,15737.5,15659.4,14799.5,18781.8,11587,17084.9,16385.5,13555.8,14970.65
E05001221,Earlsdon,10,26649.2,27762.9,26984,29418.3,21579.2,23389.9,23115.7,13435.9,18275.8
E05001222,Foleshill,13,3096.46,2288.6923076923076,4681,4026.4615384615386,4901.153846153846,6094.615384615385,8433.076923076924,5445.692307692308,6939.38
E05001223,Henley,13,8224.54,8255.538461538461,7408.7692307692305,9010.76923076923,5614.076923076923,9224.076923076924,14053.384615384615,19818.30769230769,16935.85
E05001224,Holbrook,10,9944.9,8344.8,10110.5,8991.9,8614.4,11911.3,12941.4,17331.5,15136.45
E05001225,Longford,11,6351.55,6213.727272727273,6552.363636363636,6468,5273.909090909091,7788.090909090909,11824.454545454546,13705.727272727272,12765.09
E05001226,Lower Stoke,14,13305.5,12655.785714285714,13429.57142857143,13385.714285714286,8946.57142857143,13929.07142857143,21235.5,14615.714285714286,17925.61
E05001227,Radford,12,7193.33,6201.5,7747.5,7062.166666666667,7133.333333333333,8169,17063.333333333332,11156.166666666666,14109.75
E05001228,St Michael's,14,6695.5,9630.57142857143,13634.142857142857,6674.5,4811.5,5410.642857142857,10604.285714285714,6246.357142857143,8425.32
E05001229,Sherbourne,10,18416.1,17877.5,19318.6,17263,14052.7,16808.5,23170,9188.9,16179.45
E05001230,Upper Stoke,11,9199.45,7707.454545454545,9949.727272727272,8167.363636363636,8014.181818181818,11110.636363636364,19105,11473.272727272728,15289.14
E05001231,Wainbody,8,28905,27981.25,28664.625,27485.625,22057.25,27192,19677.375,22469.125,21073.25
E05001232,Westwood,11,14810.27,13860.272727272728,14479.272727272728,12836.454545454546,10686.90909090909,14980.818181818182,18772.636363636364,22877.545454545456,20825.09
E05001233,Whoberley,11,17329.55,17268.545454545456,18591.454545454544,17616.545454545456,11713.545454545454,17470.727272727272,20600.727272727272,10187.545454545454,15394.14
E05001234,Woodlands,12,20855.67,20439.25,18581.416666666668,19788.666666666668,15594.416666666666,20466.166666666668,18630,22866.75,20748.38
E05001235,Wyken,11,17838.36,17568.727272727272,17282.81818181818,17162.545454545456,12926.272727272728,14715,20504.909090909092,16650.454545454544,18577.68
E05001260,Abbey,8,13670.75,12083.625,14372.25,19576,14952.75,13114.75,22949.25,5092.25,14020.75
E05001261,Blackheath,7,10238.71,9415.714285714286,8819.857142857143,8436.57142857143,8802.285714285714,10010.857142857143,27244.428571428572,14167.42857142857,20705.93
E05001262,Bristnall,8,9338.25,8179.625,8263.875,10538.125,8591.5,11080.25,19892.5,12156.875,16024.69
E05001263,Charlemont with Grove Vale,7,15119.71,15777.857142857143,14862.857142857143,14559.714285714286,14369.857142857143,14817.285714285714,12703.285714285714,12089.714285714286,12396.5
E05001264,Cradley Heath and Old Hill,8,10867,9697.375,9487.375,9671.375,9961.625,12571.375,23345.625,14415.75,18880.69
E05001265,Friar Park,9,5749.78,5718.777777777777,5120.222222222223,3799.1111111111113,5726.111111111111,9781.333333333334,24073.333333333332,14055.888888888889,19064.61
E05001266,Great Barr with Yew Tree,7,14119.43,13221.714285714286,13336.714285714286,15889,13959.57142857143,13867.285714285714,11531.857142857143,14693.42857142857,13112.64
E05001267,Great Bridge,7,7022.14,6401.857142857143,6820,5176.714285714285,6729,10149.857142857143,14624.857142857143,17180.428571428572,15902.64
E05001268,Greets Green and Lyng,8,4375.12,3566.25,5856,3220.75,5721.75,8820.875,9018.5,12887.125,10952.81
E05001269,Hateley Heath,8,5482.12,4921.625,5223.375,4535.25,5755.375,7702.125,14128,17343.625,15735.81
E05001270,Langley,8,7480,6870.125,7656.625,7505,7972.25,8188.625,16894,11129.25,14011.62
E05001271,Newton,8,14578,13191.75,13657.5,14056,14100.5,15713.125,14102.125,15092.375,14597.25
E05001272,Old Warley,7,15723.14,12589.142857142857,13105.714285714286,16695.14285714286,14648.857142857143,16335.142857142857,29872.714285714286,13421.857142857143,21647.29
E05001273,Oldbury,7,9465.29,8392.57142857143,9882.142857142857,7670.571428571428,10028.285714285714,13550.42857142857,11690.285714285714,15192.142857142857,13441.21
E05001274,Princes End,9,6396.56,7292.333333333333,6432.666666666667,3400.8888888888887,5512,8314.666666666666,15662.777777777777,17712.88888888889,16687.83
E05001275,Rowley,8,10240.38,8979.5,8424.875,7693.875,8748.875,13581.375,24089.625,18874.5,21482.06
E05001276,St Pauls,9,5241.56,4298.666666666667,8035.888888888889,4125.222222222223,9153.555555555555,14228.333333333334,5887.888888888889,7452.444444444444,6670.17
E05001277,Smethwick,8,4810.75,3850.375,6225.625,4119.5,7039.75,9894.375,11705.5,7922.125,9813.81
E05001278,Soho and Victoria,10,4688.7,2809.2,6982.3,4630,8105.2,8966.7,8943.2,9777.6,9360.4
E05001279,Tipton Green,9,6323.78,5619.666666666667,6328,4990.222222222223,6204.444444444444,9231.444444444445,15563.777777777777,14473.888888888889,15018.83
E05001280,Tividale,7,11760.43,10920.57142857143,10453,9627.714285714286,10277.285714285714,12463.857142857143,15830.42857142857,19313.571428571428,17572
E05001281,Wednesbury North,7,5929.14,5799.714285714285,5340.428571428572,5887.142857142857,5667.571428571428,9389,22557.85714285714,9027.42857142857,15792.64
E05001282,Wednesbury South,8,7663.88,7619.25,7086.25,5360.625,6400.375,11681.125,17085.5,18912.625,17999.06
E05001283,West Bromwich Central,8,5739.62,6903.375,6565.375,5641.375,6932.75,5510.5,9045.625,7577.625,8311.62
E05001284,Bickenhill,8,16901.5,17071,15289.625,17035.5,15272.5,15673.625,21166.75,16602.625,18884.69
E05001285,Blythe,9,29151.56,25820.777777777777,26848.222222222223,28910.555555555555,26342.222222222223,25502.11111111111,17251.11111111111,28968.333333333332,23109.72
E05001286,Castle Bromwich,8,20464.62,19757.125,17857.5,15509,18978.5,16867,28011.5,16116.125,22063.81
E05001287,Chelmsley Wood,9,2967.56,3672.1111111111113,2254.222222222222,2630.8888888888887,2477.3333333333335,3270.8888888888887,22428.88888888889,20306.444444444445,21367.67
E05001288,Dorridge and Hockley Heath,7,30921.29,29988.85714285714,29661.714285714286,31586.714285714286,29028.285714285714,28049.14285714286,20982,26739,23860.5
E05001289,Elmdon,9,21578.22,18488.222222222223,17749.666666666668,18754.222222222223,19326.666666666668,21467.777777777777,27142.88888888889,20420.88888888889,23781.89
E05001290,Kingshurst and Fordbridge,8,5545.25,5904.875,4357,3983.625,5932.625,4976.75,25064.375,20321.5,22692.94
E05001291,Knowle,6,31333.83,29776.166666666668,28981.666666666668,31902.5,28347.666666666668,28867.666666666668,24570.5,25546.833333333332,25058.67
E05001292,Lyndon,9,18456.22,15236.777777777777,16325,16385.11111111111,15193,17227.666666666668,30834.444444444445,16958,23896.22
E05001293,Meriden,8,25303.62,25561,24264.875,25567.625,24711.875,23749.625,12894.75,18869.25,15882
E05001294,Olton,8,25185.88,23655.125,22943.125,25343,22055.625,23724.75,29262.5,16131.875,22697.19
E05001295,St Alphege,8,32155.5,30556.25,30709.375,32537.875,30581.25,27768.875,29913.25,23409.5,26661.38
E05001296,Shirley East,7,25955,23809.714285714286,23073.428571428572,26350.14285714286,22205.285714285714,22542.85714285714,31094,20923.14285714286,26008.57
E05001297,Shirley South,8,24587.38,22161,22134.25,24192.625,20072.875,23916.25,30789.5,18964.5,24877
E05001298,Shirley West,8,21806.25,18766.25,19421.25,20917.25,18490.125,17607.25,26787.625,20144.25,23465.94
E05001299,Silhill,6,27085,24430.166666666668,23817.166666666668,26063,23450,25717.166666666668,31536,19867.666666666668,25701.83
E05001300,Smith's Wood,8,3531.25,3962.625,2683.5,2391,3963,5352.125,22642.125,17015.875,19829
E05001301,Aldridge Central and South,9,22711.22,21560.666666666668,19249.88888888889,21311.88888888889,17153.333333333332,21350.777777777777,28560.11111111111,19407.11111111111,23983.61
E05001302,Aldridge North and Walsall Wood,9,17380,17040.777777777777,14650.888888888889,14356.888888888889,11851.888888888889,18394.777777777777,26048.11111111111,21587.11111111111,23817.61
E05001303,Bentley and Darlaston North,8,4770.62,4025.375,4217.5,3704.875,5514.75,7135.125,23308.875,13681.5,18495.19
E05001304,Birchills Leamore,10,3220.9,2360.3,2979.8,2892.7,4288,7164.7,23211.1,11047.5,17129.3
E05001305,Blakenall,8,3348.88,1940,3225.875,3164.25,4482,5030.625,25612.125,19351.125,22481.62
E05001306,Bloxwich East,7,5231.43,5572.428571428572,4164.285714285715,4225.714285714285,5064.428571428572,8111.285714285715,23150.14285714286,15527.857142857143,19339
E05001307,Bloxwich West,9,9811.56,9400.222222222223,8779.666666666666,7130.888888888889,8298.222222222223,12607.777777777777,18921,19494.88888888889,19207.94
E05001308,Brownhills,8,10609.5,10646,9226.75,7676,9024.25,11519.75,19832.25,20146.125,19989.19
E05001309,Darlaston South,9,5295.33,4156.333333333333,4435.555555555556,4626.555555555556,5564.777777777777,9405.666666666666,21592.222222222223,15098.666666666666,18345.44
E05001310,Paddock,8,21847.38,18934.25,19833.25,20849.5,21715.875,21333,23455.25,15761.375,19608.31
E05001311,Palfrey,10,5163.1,2990,5679.5,5311.2,8758.5,11473.1,18834.1,6684.8,12759.45
E05001312,Pelsall,8,18355.25,18434.125,15290.625,15600.75,13599.5,18699.75,19112.5,20530.875,19821.69
E05001313,Pheasey Park Farm,7,22985.14,20444,20632.14285714286,19685,18227,20339.14285714286,29746.428571428572,17943.714285714286,23845.07
E05001314,Pleck,9,3691.89,2475.1111111111113,4494.888888888889,3489,6935,6318.888888888889,20905.555555555555,6592,13748.78
E05001315,Rushall-Shelfield,8,12422.75,12130.625,10180.125,10033,8919.625,15176.5,23998.125,17849,20923.56
E05001316,St Matthew's,9,8732.67,7573.333333333333,7288.666666666667,10855,9534.333333333334,8145,23325.88888888889,9270.555555555555,16298.22
E05001317,Short Heath,8,13928.25,14458,12357.875,8984.75,11502.875,13082.875,25949,17963.625,21956.31
E05001318,Streetly,8,30831.62,29866.25,28833.875,27080,24721.5,29454.375,24511.75,23427.375,23969.56
E05001319,Willenhall North,8,16011.5,15015.125,13455.875,11738.75,13713.75,16410.75,23480,20864.625,22172.31
